,article_id,category_id,created_at_ts,words_count
2158,2158,1,1508149541000,173
2422,2422,1,1507318477000,185
5389,5389,4,1504834257000,202
9308,9308,6,1507753666000,176
9690,9690,6,1507202134000,182
10370,10370,6,1507471633000,151
11491,11491,7,1403595001000,160
13988,13988,7,1504543342000,203
14030,14030,7,1507027437000,284
14392,14392,7,1507497025000,288
14394,14394,7,1506625205000,217
14425,14425,7,1507038344000,255
15418,15418,7,1507050617000,243
16087,16087,7,1507896736000,189
16129,16129,7,1506944396000,200
17217,17217,7,1507985769000,204
19424,19424,9,1508152073000,182
19964,19964,9,1506984805000,166
20691,20691,9,1507826236000,226
21295,21295,9,1507886396000,196
21384,21384,9,1508006556000,165
25325,25325,25,1507202871000,156
29718,29718,26,1507023167000,223
29800,29800,26,1507223233000,173
29953,29953,26,1507633764000,175
30029,30029,26,1507574102000,248
30170,30170,26,1507638884000,227
30336,30336,26,1507914381000,215
30360,30360,26,1507399195000,185
30389,30389,26,1508152214000,264
30394,30394,26,1507846754000,143
30402,30402,26,1507018906000,171
30611,30611,26,1507532292000,288
30730,30730,26,1507371864000,211
30760,30760,26,1508185091000,162
30854,30854,26,1505742679000,206
30855,30855,26,1507299018000,174
30957,30957,26,1507810995000,203
31068,31068,26,1507624432000,211
31187,31187,26,1507817866000,153
31194,31194,26,1508149016000,191
31239,31239,26,1507617078000,152
31312,31312,26,1507546727000,213
31318,31318,26,1507651287000,224
31520,31520,26,1507466283000,214
31528,31528,26,1507924317000,164
31549,31549,26,1508154066000,189
31805,31805,26,1507830331000,175
31836,31836,26,1507553479000,175
32041,32041,26,1507567383000,179
32082,32082,26,1507641457000,198
32087,32087,26,1507651268000,182
32088,32088,26,1507837770000,271
32292,32292,26,1507652953000,179
32450,32450,26,1507557652000,217
32652,32652,26,1507121915000,198
32655,32655,26,1507563072000,186
32730,32730,26,1494351900000,187
32750,32750,26,1507133077000,259
32755,32755,26,1507820728000,222
36080,36080,43,1507128377000,220
36394,36394,43,1507209198000,224
36484,36484,43,1507651308000,274
36609,36609,43,1508082585000,326
36622,36622,43,1507039828000,178
36709,36709,43,1507044062000,223
36821,36821,43,1508212858000,200
36910,36910,44,1507129570000,175
38625,38625,51,1507889809000,229
42223,42223,67,1507648195000,186
42224,42224,67,1507317249000,156
42226,42226,67,1507618860000,174
42298,42298,67,1507563443000,191
42329,42329,67,1507207645000,377
42571,42571,67,1507565282000,273
42612,42612,67,1507365519000,156
42693,42693,67,1507035643000,290
42727,42727,67,1507202666000,212
42770,42770,67,1507647954000,244
42960,42960,67,1507641618000,234
47854,47854,92,1507740704000,232
47979,47979,92,1507116947000,158
48109,48109,92,1507640841000,184
48403,48403,92,1507563541000,265
48482,48482,92,1507028733000,176
49101,49101,92,1507269673000,220
50504,50504,99,1507924612000,171
50644,50644,99,1508182319000,188
57442,57442,118,1508169460000,218
57485,57485,118,1508008328000,139
57616,57616,118,1507877859000,166
58020,58020,118,1508003387000,127
58417,58417,118,1507137932000,247
58565,58565,118,1507631740000,231
58580,58580,118,1507892241000,138
58619,58619,118,1507971572000,209
58637,58637,118,1507224095000,185
58699,58699,118,1507144275000,244
58715,58715,118,1507586355000,221
58891,58891,118,1507292390000,229
59041,59041,118,1507743441000,235
59057,59057,118,1507547445000,191
59452,59452,118,1507035704000,185
59673,59673,118,1506977248000,153
59822,59822,123,1507558183000,177
59854,59854,123,1507054876000,167
59863,59863,123,1507130512000,227
61251,61251,125,1508165421000,259
61382,61382,126,1507127414000,167
61520,61520,126,1507560203000,207
61749,61749,126,1507050142000,156
62465,62465,127,1508157287000,145
62567,62567,127,1507528867000,194
62702,62702,127,1507311502000,195
63658,63658,133,1507113288000,192
63772,63772,133,1507109990000,140
63844,63844,133,1488788880000,185
64329,64329,134,1506970055000,199
64346,64346,134,1507531808000,200
65373,65373,135,1507012257000,313
65374,65374,135,1507560962000,222
65407,65407,135,1507056379000,200
65560,65560,135,1508147470000,266
65588,65588,135,1507123841000,284
65656,65656,135,1507050434000,240
65707,65707,135,1507122962000,193
65753,65753,135,1506961097000,297
65766,65766,135,1507652073000,213
65774,65774,135,1507569710000,230
65839,65839,135,1508159767000,218
65860,65860,135,1507921101000,226
65928,65928,135,1508149787000,264
65991,65991,135,1507901905000,246
65992,65992,135,1507659538000,229
66065,66065,135,1508148215000,257
66066,66066,135,1507902815000,284
66091,66091,135,1507048777000,191
66193,66193,135,1507121293000,152
66349,66349,135,1506950958000,257
66390,66390,135,1507107559000,237
66421,66421,135,1506953082000,224
67661,67661,136,1450371077000,221
68684,68684,136,1507664834000,218
68698,68698,136,1507633978000,256
