,user_id,click_article_id,click_timestamp,click_environment,click_deviceGroup,click_os,click_country,click_region,click_referrer_type
957,249601,160974,1506959399736,4,3,2,11,28,2
958,249601,272660,1506959429736,4,3,2,11,28,2
1630,249322,236171,1506959549245,4,1,17,1,25,4
1631,249322,202586,1506959916486,4,1,17,1,25,4
1632,249322,158082,1506959923948,4,1,17,1,25,1
1633,249322,118753,1506959966943,4,1,17,1,25,4
1634,249322,160417,1506960119214,4,1,17,1,25,1
1635,249322,66349,1506962011261,4,1,17,1,25,4
1636,249322,206661,1506962247662,4,1,17,1,25,4
1637,249322,160974,1506965179941,4,1,17,1,25,1
1638,249322,225055,1506965344805,4,1,17,1,25,4
1639,249322,207731,1506965348984,4,1,17,1,25,4
1640,249322,298310,1506965641752,4,1,17,1,25,4
1641,249322,337082,1506965770251,4,1,17,1,25,4
1642,249322,282785,1506965813609,4,1,17,1,25,4
1643,249322,119044,1506965864556,4,1,17,1,25,4
1644,249322,202383,1506965944596,4,1,17,1,25,4
1645,249322,225201,1506966020948,4,1,17,1,25,4
1646,249322,162655,1506966177926,4,1,17,1,25,1
1647,249322,162765,1506967005881,4,1,17,1,25,7
1648,249322,156560,1506968472681,4,1,17,1,25,1
1649,249322,160148,1506968476678,4,1,17,1,25,1
1650,249322,209294,1506968637990,4,1,17,1,25,4
1651,249322,297949,1506969339842,4,1,17,1,25,1
1652,249322,297906,1506969790790,4,1,17,1,25,4
1653,249322,72254,1506969809746,4,1,17,1,25,4
1654,249322,273394,1506969813119,4,1,17,1,25,4
1655,249322,360447,1506969822877,4,1,17,1,25,4
1656,249322,118864,1506969834383,4,1,17,1,25,4
1657,249322,166580,1506971878043,4,1,17,1,25,4
1658,249322,225198,1506971892979,4,1,17,1,25,4
1659,249322,336607,1506971910174,4,1,17,1,25,4
1660,249322,224658,1506971922291,4,1,17,1,25,4
1661,249322,65753,1506971942356,4,1,17,1,25,4
1662,249322,300473,1506972638705,4,1,17,1,25,4
1663,249322,352153,1506972650761,4,1,17,1,25,4
1664,249322,207024,1506972798652,4,1,17,1,25,4
1665,249322,158536,1506975376545,4,1,17,1,25,7
1666,249322,353667,1506975414877,4,1,17,1,25,4
1667,249322,161584,1506975725048,4,1,17,1,25,1
1668,249322,149623,1506975730763,4,1,17,1,25,1
1669,249322,351633,1506979737672,4,1,17,1,25,4
1670,249322,206159,1506980649428,4,1,17,1,25,4
1671,249322,286086,1506980762494,4,1,17,1,25,4
1672,249322,118683,1506980767818,4,1,17,1,25,4
1673,249322,203218,1506980794190,4,1,17,1,25,4
