,user_id,click_article_id,click_timestamp,click_environment,click_deviceGroup,click_os,click_country,click_region,click_referrer_type
4112,198508,206934,1507053442398,4,1,17,1,25,2
4113,198508,235230,1507055270000,4,1,17,1,25,2
4114,198508,156624,1507055300000,4,1,17,1,25,2
5231,198098,317736,1507032820585,4,1,17,1,25,5
5232,198098,317880,1507032868433,4,1,17,1,25,1
5233,198098,289386,1507032898433,4,1,17,1,25,1
5375,198052,73287,1507033560590,4,1,17,1,9,1
5376,198052,73500,1507033590590,4,1,17,1,9,1
20866,192541,272143,1507042731802,4,1,17,1,21,5
20867,192541,156619,1507042797754,4,1,17,1,21,1
20868,192541,199197,1507043410338,4,1,17,1,21,1
20869,192541,208322,1507043440338,4,1,17,1,21,1
28598,189798,70646,1507046660372,2,3,20,1,25,2
28599,189798,156624,1507046690372,2,3,20,1,25,2
30253,192541,234493,1507047329826,4,1,17,1,21,5
30254,192541,209294,1507047359826,4,1,17,1,21,5
34419,187795,181873,1507049901377,4,1,17,1,15,1
34420,187795,182445,1507049931377,4,1,17,1,15,1
40262,185829,199197,1507051694506,4,3,2,1,4,2
40263,185829,14030,1507051724506,4,3,2,1,4,2
40604,185712,206934,1507051790476,4,3,2,1,7,2
40605,185712,70646,1507051990664,4,3,2,1,7,2
40606,185712,206168,1507052038781,4,3,2,1,7,2
40607,185712,235230,1507052068781,4,3,2,1,7,2
64273,177715,158192,1507065498041,4,1,17,1,25,1
64274,177715,19964,1507065528041,4,1,17,1,25,1
64826,177529,314402,1507065994386,4,3,2,1,25,7
64827,177529,286161,1507066024386,4,3,2,1,25,7
69364,187795,184131,1507071688025,4,1,17,1,15,1
69365,187795,182445,1507072505112,4,1,17,1,15,1
69366,187795,182023,1507072917199,4,1,17,1,15,1
69367,187795,181928,1507072936104,4,1,17,1,15,1
69368,187795,36709,1507072966104,4,1,17,1,15,1
72027,174973,206462,1507075737878,4,1,17,1,21,1
72028,174973,48482,1507075863998,4,1,17,1,21,1
72029,174973,84673,1507076020261,4,1,17,1,21,1
72030,174973,187065,1507077157658,4,1,17,1,21,1
72031,174973,351884,1507077187658,4,1,17,1,21,1
72716,174746,199197,1507076189045,4,3,20,10,28,2
72717,174746,156560,1507076219045,4,3,20,10,28,2
76793,185712,206407,1507080924935,4,3,2,1,7,2
76794,185712,207982,1507080954935,4,3,2,1,7,2
79854,172241,285435,1507086887501,4,3,2,1,20,2
79855,172241,271551,1507086917501,4,3,2,1,20,2
96836,167149,233717,1507122669790,4,1,17,1,13,1
96837,167149,158646,1507122699790,4,1,17,1,13,1
103103,185712,111210,1507123466700,4,3,2,1,7,2
103104,185712,71076,1507123496700,4,3,2,1,7,2
106169,164664,233717,1507125471418,4,1,12,1,22,1
106170,164664,159762,1507125501418,4,1,12,1,22,1
121110,160668,71596,1507134180712,4,1,17,1,13,5
121111,160668,71298,1507134210712,4,1,17,1,13,5
124007,159908,159762,1507135482850,4,1,17,1,25,2
124008,159908,293301,1507135512850,4,1,17,1,25,2
126152,159358,159762,1507136399575,4,1,17,1,25,2
126153,159358,166377,1507138101235,4,1,17,1,25,2
126154,159358,160132,1507138131235,4,1,17,1,25,2
128969,158638,202289,1507137680897,4,3,2,1,21,2
128970,158638,202493,1507137710897,4,3,2,1,21,2
149867,153202,156723,1507152679600,4,3,20,1,25,2
149868,153202,233717,1507152709600,4,3,20,1,25,2
153506,152191,168623,1507157835890,4,1,17,1,27,2
153507,152191,257291,1507157865890,4,1,17,1,27,2
157206,151077,284410,1507159729584,4,3,2,1,16,2
157207,151077,286321,1507159759584,4,3,2,1,16,2
158388,150724,286321,1507160809625,4,3,2,1,17,2
158389,150724,168623,1507160866376,4,3,2,1,17,2
158390,150724,195322,1507160896376,4,3,2,1,17,2
171147,146729,150935,1507173373839,4,1,17,1,5,7
171148,146729,67661,1507173403839,4,1,17,1,5,7
179038,144959,123909,1507211373004,4,3,20,1,21,5
179039,144959,215928,1507211403004,4,3,20,1,21,5
202025,139474,123909,1507222361046,4,1,17,1,25,2
202026,139474,276970,1507222463402,4,1,17,1,25,2
202027,139474,327400,1507222637222,4,1,17,1,25,1
202028,139474,168623,1507222667222,4,1,17,1,25,1
